qrs_mode,total_state_dim,patient_id,n_discordant_beats,n_concordant_beats,factored_minus_monolithic_discordant_acc,factored_minus_monolithic_concordant_acc,interaction
deployable,16,04936,576,4424,0.00034722222222205446,-0.0001356238698009271,0.00048284609202298157
deployable,16,06426,547,4453,-0.1396709323583181,-0.04266786436110487,-0.09700306799721323
deployable,16,06995,500,4500,-0.044,-0.04071111111111111,-0.00328888888888889
deployable,16,07162,500,4500,-0.0892,-0.062044444444444444,-0.027155555555555558
deployable,16,08378,1580,3420,-0.005569620253164542,0.04555555555555557,-0.051125175808720114
deployable,32,04936,576,4424,0.0,0.0,0.0
deployable,32,06426,547,4453,-0.03765996343692868,-0.009791152032337762,-0.027868811404590917
deployable,32,06995,500,4500,-0.0012000000000000001,0.001288888888888889,-0.002488888888888889
deployable,32,07162,500,4500,0.0008,8.888888888888889e-05,0.0007111111111111111
deployable,32,08378,1580,3420,0.25531645569620254,-0.006198830409356759,0.2615152861055593
